year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2019, 1, 1, 2.6, -1.1, -3.4, 77.4, 1.3, 1.4, 0.0, 0.1, 7.4
2019, 1, 2, 2.7, -1.6, -5.2, 71.6, 1.4, 7.9, 0.0, 0.0, 1.8
2019, 1, 3, 4.4, -1.6, -7.1, 67.0, 1.3, 9.1, 0.0, 0.0, 0.0
2019, 1, 4, 3.7, -0.9, -6.0, 62.6, 1.0, 2.3, 0.0, 0.0, 6.9
2019, 1, 5, 4.5, 0.4, -3.6, 54.0, 1.8, 7.7, 0.0, 0.0, 3.5
2019, 1, 6, 4.1, -1.4, -5.1, 57.6, 1.2, 8.7, 0.0, 0.0, 2.9
2019, 1, 7, 5.0, -0.4, -5.6, 69.9, 1.2, 7.7, 0.0, 0.0, 4.0
2019, 1, 8, 3.4, -0.3, -3.7, 62.1, 2.2, 7.1, 0.0, 0.0, 4.5
2019, 1, 9, 1.2, -2.6, -7.4, 41.9, 1.4, 5.4, 0.0, 0.0, 7.1
2019, 1, 10, 3.0, 0.2, -2.4, 62.1, 0.8, 1.4, 0.0, 0.0, 7.8
2019, 1, 11, 8.3, 3.2, -2.1, 69.5, 1.1, 5.3, 0.0, 0.0, 7.3
2019, 1, 12, 8.2, 3.9, 0.4, 87.6, 1.0, 4.7, 3.9, 0.0, 8.3
2019, 1, 13, 7.0, 2.3, -1.0, 80.3, 1.1, 8.6, 0.0, 0.0, 1.1
2019, 1, 14, 7.0, 1.3, -3.3, 81.6, 1.1, 5.9, 0.0, 0.0, 3.4
2019, 1, 15, 6.1, 0.8, -4.2, 77.5, 2.5, 3.5, 0.0, 0.0, 5.5
2019, 1, 16, 1.0, -2.9, -7.1, 57.5, 1.6, 9.2, 0.0, 0.0, 2.5
2019, 1, 17, 4.0, 0.3, -2.0, 78.4, 1.6, 3.0, 0.0, 0.0, 4.5
2019, 1, 18, 7.5, 1.5, -3.5, 73.9, 1.5, 6.8, 0.0, 0.0, 4.6
2019, 1, 19, 7.7, 3.6, -1.0, 72.9, 1.2, 3.3, 1.3, 0.0, 7.3
2019, 1, 20, 4.0, 1.3, -2.4, 68.9, 3.0, 9.1, 0.3, 0.0, 2.5
2019, 1, 21, 6.3, 0.7, -5.2, 69.3, 2.0, 5.0, 0.0, 0.0, 2.9
2019, 1, 22, 9.0, 2.6, -2.0, 70.9, 2.0, 8.1, 0.0, 0.0, 0.1
2019, 1, 23, 8.9, 3.0, -0.8, 73.4, 2.3, 6.5, 0.0, 0.0, 3.0
2019, 1, 24, 7.2, 1.0, -4.3, 61.3, 1.2, 9.6, 0.0, 0.0, 0.0
2019, 1, 25, 4.5, -0.4, -3.4, 62.9, 2.5, 6.3, 0.0, 0.0, 3.6
2019, 1, 26, 3.1, -1.8, -5.9, 54.4, 2.0, 9.6, 0.0, 0.0, 0.0
2019, 1, 27, 5.7, -0.1, -7.1, 63.6, 1.6, 9.5, 0.0, 0.0, 1.6
2019, 1, 28, 7.6, 3.3, -1.0, 64.0, 2.8, 7.9, 1.1, 0.0, 3.0
2019, 1, 29, 6.8, 0.4, -5.4, 57.8, 1.2, 9.4, 0.0, 0.0, 1.0
2019, 1, 30, 8.1, 2.7, -2.9, 60.9, 1.2, 4.9, 0.0, 0.0, 7.1
2019, 1, 31, 4.0, -0.3, -3.6, 79.3, 1.8, 3.1, 6.6, 3.8, 5.8
2019, 2, 1, 3.0, -1.4, -5.7, 77.6, 1.4, 5.2, 0.0, 0.0, 3.4
2019, 2, 2, 9.3, 3.7, -3.0, 71.3, 1.8, 4.0, 0.5, 0.0, 7.5
2019, 2, 3, 12.9, 7.6, 4.2, 98.6, 2.9, 0.0, 20.0, 0.0, 10.0
2019, 2, 4, 6.5, 2.7, -0.6, 56.5, 1.9, 8.6, 0.0, 0.0, 3.3
2019, 2, 5, 13.6, 5.1, -2.4, 48.3, 1.3, 8.5, 0.0, 0.0, 4.6
2019, 2, 6, 14.0, 7.1, 0.7, 65.8, 1.5, 5.4, 0.0, 0.0, 7.5
2019, 2, 7, 7.1, 2.0, -4.7, 58.1, 3.0, 6.0, 0.0, 0.0, 6.8
2019, 2, 8, 2.6, -2.5, -6.4, 46.9, 1.9, 6.8, 0.0, 0.0, 7.6
2019, 2, 9, 2.7, -2.0, -4.2, 48.8, 2.6, 9.4, 0.0, 0.0, 5.5
2019, 2, 10, 2.2, -1.8, -5.2, 46.4, 1.5, 3.8, 0.0, 0.0, 8.4
2019, 2, 11, 4.0, -1.0, -4.9, 54.0, 1.8, 9.7, 0.0, 0.0, 1.4
2019, 2, 12, 5.9, 0.4, -5.4, 62.5, 1.5, 5.5, 0.0, 0.0, 5.3
2019, 2, 13, 5.2, 0.8, -2.7, 47.3, 2.3, 9.5, 0.0, 0.0, 3.8
2019, 2, 14, 6.5, 1.3, -1.8, 45.8, 1.6, 9.2, 0.0, 0.0, 6.4
2019, 2, 15, 5.0, 1.6, -0.6, 68.6, 1.7, 1.7, 0.0, 0.0, 9.6
2019, 2, 16, 3.0, -0.2, -2.6, 68.4, 2.6, 5.4, 0.0, 0.0, 7.3
2019, 2, 17, 5.7, -0.3, -4.9, 61.6, 1.5, 10.2, 0.0, 0.0, 1.9
2019, 2, 18, 7.0, 1.9, -3.6, 61.1, 0.9, 1.3, 0.1, 0.0, 9.0
2019, 2, 19, 4.5, 3.0, 0.9, 98.8, 1.4, 0.0, 18.4, 0.0, 8.5
2019, 2, 20, 7.2, 2.8, 0.6, 83.3, 1.5, 3.5, 0.1, 0.0, 6.0
2019, 2, 21, 8.6, 2.6, -2.5, 77.3, 1.4, 8.7, 0.0, 0.0, 3.4
2019, 2, 22, 10.0, 3.9, -0.4, 76.1, 1.3, 5.5, 0.0, 0.0, 6.5
