year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2019, 1, 1, 0.2, -4.4, -9.0, 64.8, 1.8, 5.3, 0.0, 0.0, 2.1
2019, 1, 2, 1.5, -5.3, -10.7, 61.1, 1.1, 9.0, 0.0, 0.0, 0.0
2019, 1, 3, 4.2, -3.7, -10.1, 52.3, 0.9, 9.1, 0.0, 0.0, 0.0
2019, 1, 4, 4.2, -2.3, -8.7, 73.9, 0.6, 3.7, 0.0, 0.0, 5.0
2019, 1, 5, 2.8, -2.4, -6.4, 45.0, 1.7, 8.8, 0.0, 0.0, 1.8
2019, 1, 6, 3.1, -3.5, -7.8, 53.9, 1.1, 7.9, 0.0, 0.0, 2.8
2019, 1, 7, 4.7, -2.6, -8.5, 73.5, 1.0, 6.9, 0.0, 0.0, 3.8
2019, 1, 8, 2.4, -2.8, -7.3, 43.1, 2.5, 8.8, 0.0, 0.0, 0.4
2019, 1, 9, 1.4, -4.6, -10.6, 39.3, 1.0, 8.8, 0.0, 0.0, 5.9
2019, 1, 10, 2.0, -1.2, -4.0, 59.1, 1.1, 2.4, 0.0, 0.0, 7.3
2019, 1, 11, 7.3, 2.2, -1.1, 70.1, 0.8, 6.4, 0.0, 0.0, 7.8
2019, 1, 12, 9.1, 2.4, -2.8, 64.6, 1.0, 4.5, 0.0, 0.0, 5.0
2019, 1, 13, 8.1, 0.2, -5.6, 77.9, 1.1, 8.7, 0.0, 0.0, 0.0
2019, 1, 14, 4.7, 0.0, -4.5, 87.3, 0.7, 0.0, 0.0, 0.0, 6.1
2019, 1, 15, 3.9, -1.1, -6.7, 63.5, 2.5, 3.6, 0.0, 0.0, 3.5
2019, 1, 16, -0.4, -4.5, -9.4, 49.5, 2.0, 8.5, 0.0, 0.0, 4.6
2019, 1, 17, 5.7, -0.4, -4.5, 60.8, 1.6, 9.1, 0.1, 0.1, 2.4
2019, 1, 18, 7.4, -0.4, -7.6, 66.6, 0.8, 8.7, 0.0, 0.0, 2.4
2019, 1, 19, 9.2, 2.4, -2.4, 70.5, 0.8, 6.1, 0.0, 0.0, 6.6
2019, 1, 20, 4.0, -0.4, -5.1, 45.1, 3.1, 9.4, 0.0, 0.0, 1.1
2019, 1, 21, 6.4, -1.3, -8.1, 64.8, 1.9, 2.6, 0.0, 0.0, 3.8
2019, 1, 22, 7.8, 0.4, -4.9, 79.8, 1.3, 8.2, 0.0, 0.0, 1.3
