year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2015, 1, 1, -0.8, -4.0, -6.1, 50.4, 2.3, 7.7, 0.0, 0.0, 4.3
2015, 1, 2, -0.1, -4.2, -7.2, 71.5, 1.1, 3.1, 0.0, 1.0, 3.3
2015, 1, 3, 5.2, -2.0, -9.0, 60.5, 1.0, 7.3, 0.0, 0.0, 3.8
2015, 1, 4, 10.7, 3.3, -0.7, 73.4, 0.8, 4.2, 0.0, 0.0, 3.3
2015, 1, 5, 13.2, 6.3, -1.6, 70.6, 1.4, 5.3, 15.0, 0.0, 7.1
2015, 1, 6, 9.3, 1.6, -3.3, 61.6, 2.7, 5.9, 8.5, 0.0, 5.8
2015, 1, 7, 2.7, -2.7, -6.9, 43.5, 1.6, 7.5, 0.0, 0.0, 3.1
2015, 1, 8, 3.0, -2.6, -8.2, 69.4, 1.1, 7.7, 0.0, 0.0, 0.5
2015, 1, 9, 4.7, 0.0, -4.6, 81.6, 0.7, 3.9, 0.0, 0.0, 5.9
2015, 1, 10, 7.2, 0.9, -3.9, 70.5, 1.0, 7.8, 0.0, 0.0, 0.6
2015, 1, 11, 5.7, 1.6, -1.5, 63.4, 2.1, 7.2, 0.1, 0.0, 1.9
2015, 1, 12, 3.7, -1.8, -6.1, 51.6, 1.0, 7.9, 0.0, 0.0, 0.0
2015, 1, 13, 9.4, 1.6, -5.4, 56.3, 0.7, 5.7, 0.0, 0.0, 4.9
2015, 1, 14, 7.2, 3.7, 1.6, 65.3, 0.6, 0.0, 0.0, 0.0, 9.3
2015, 1, 15, 8.8, 2.1, -1.9, 70.9, 0.9, 4.6, 0.0, 0.0, 2.9
2015, 1, 16, 3.7, 1.9, -0.1, 85.3, 1.4, 0.0, 0.4, 0.0, 8.9
2015, 1, 17, 3.5, -0.6, -4.3, 55.0, 2.0, 7.9, 0.0, 0.0, 0.9
2015, 1, 18, 5.6, 0.2, -7.1, 62.1, 1.7, 7.1, 0.4, 0.0, 4.4
2015, 1, 19, 7.3, 2.9, 0.1, 59.9, 2.0, 5.6, 0.0, 0.0, 4.9
2015, 1, 20, 8.2, 1.2, -4.4, 61.1, 0.8, 7.9, 0.0, 0.0, 4.4
2015, 1, 21, 7.0, 4.3, 0.6, 78.3, 0.6, 0.0, 7.0, 0.0, 10.0
2015, 1, 22, 6.1, 3.7, 2.2, 87.9, 1.6, 0.1, 0.0, 0.0, 8.3
2015, 1, 23, 7.5, 2.6, -1.1, 76.4, 1.0, 3.7, 0.0, 0.0, 2.4
2015, 1, 24, 8.8, 2.7, -2.0, 71.9, 0.9, 4.7, 0.0, 0.0, 3.9
2015, 1, 25, 10.8, 6.9, -0.5, 69.6, 1.7, 0.9, 3.3, 0.0, 9.0
2015, 1, 26, 9.6, 6.5, 3.1, 98.5, 1.2, 0.0, 3.8, 0.0, 10.0
2015, 1, 27, 3.8, 0.4, -3.9, 66.3, 2.1, 6.3, 0.0, 0.0, 4.0
2015, 1, 28, 2.1, -2.4, -5.4, 51.8, 1.2, 8.6, 0.0, 0.0, 1.9
2015, 1, 29, 3.5, 0.1, -3.9, 80.5, 0.7, 0.0, 2.5, 0.5, 9.1
2015, 1, 30, 3.3, -0.2, -2.4, 66.4, 1.7, 6.1, 0.5, 0.8, 3.9
2015, 1, 31, 2.5, -2.7, -6.9, 55.6, 1.5, 8.8, 0.0, 0.0, 0.3
2015, 2, 1, 4.8, -2.4, -8.2, 64.6, 1.0, 8.9, 0.0, 0.0, 0.5
2015, 2, 2, 7.2, 0.2, -4.2, 65.1, 1.0, 8.1, 0.0, 0.0, 2.4
2015, 2, 3, 6.0, 0.3, -4.6, 65.9, 1.0, 6.4, 0.0, 0.0, 4.1
2015, 2, 4, 4.9, 0.1, -4.2, 81.1, 0.9, 3.4, 0.0, 0.0, 6.3
2015, 2, 5, 5.2, 0.9, -2.5, 68.8, 1.4, 6.5, 0.0, 0.0, 3.6
2015, 2, 6, 7.0, 1.9, -2.1, 60.6, 1.1, 9.0, 0.0, 0.0, 4.4
2015, 2, 7, 6.7, 2.4, -1.6, 68.9, 1.0, 2.3, 0.0, 0.0, 7.5
2015, 2, 8, 2.7, -4.7, -7.6, 41.6, 3.3, 8.8, 0.0, 0.0, 3.5
2015, 2, 9, 1.4, -3.7, -10.1, 51.1, 1.5, 7.8, 0.0, 0.0, 3.1
2015, 2, 10, 9.1, 4.0, 0.1, 54.4, 2.0, 8.4, 0.0, 0.0, 5.6
2015, 2, 11, 10.7, 5.8, 1.4, 64.5, 1.7, 6.6, 0.0, 0.0, 6.6
2015, 2, 12, 4.6, 0.8, -2.1, 44.6, 2.4, 9.2, 0.0, 0.0, 1.5
2015, 2, 13, 5.0, -1.0, -6.5, 46.6, 1.4, 9.3, 0.0, 0.0, 0.0
2015, 2, 14, 10.7, 3.2, -3.4, 59.6, 1.1, 6.8, 0.0, 0.0, 1.6
2015, 2, 15, 12.8, 8.3, 0.7, 64.3, 1.8, 0.0, 7.0, 0.0, 9.5
2015, 2, 16, 8.1, 6.6, 4.7, 94.9, 1.2, 0.0, 4.5, 0.0, 10.0
