year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2024, 1, 1, 9.3, 5.1, 0.2, 74.5, 1.1, 6.4, 0.0, 0.0, 4.4
2024, 1, 2, 7.7, 5.4, 4.0, 72.3, 1.1, 0.1, 0.0, 0.0, 9.3
2024, 1, 3, 6.1, 3.3, 1.0, 84.8, 1.4, 0.6, 1.4, 0.0, 7.5
2024, 1, 4, 7.7, 2.7, -1.8, 74.5, 1.5, 8.8, 0.0, 0.0, 0.0
2024, 1, 5, 9.9, 6.7, 2.4, 76.5, 1.5, 0.5, 0.0, 0.0, 7.4
2024, 1, 6, 6.6, 2.7, -0.2, 72.9, 1.4, 9.2, 0.5, 0.0, 1.3
2024, 1, 7, 2.7, -0.7, -4.1, 62.1, 2.5, 7.3, 0.0, 0.0, 2.9
2024, 1, 8, 2.3, -2.4, -6.8, 53.9, 1.2, 9.4, 0.0, 0.0, 0.5
2024, 1, 9, 7.2, 2.9, -2.3, 73.0, 1.3, 0.0, 4.0, 0.0, 9.5
2024, 1, 10, 4.1, 0.9, -1.6, 81.9, 1.6, 5.7, 0.5, 0.0, 3.4
2024, 1, 11, 5.9, 2.7, -2.4, 72.1, 1.2, 1.7, 0.0, 0.0, 8.4
2024, 1, 12, 8.7, 4.4, 0.3, 63.0, 1.4, 8.6, 0.0, 0.0, 1.9
2024, 1, 13, 6.8, 1.5, -2.8, 59.6, 1.2, 9.3, 0.0, 0.0, 0.0
2024, 1, 14, 12.9, 5.8, -0.7, 70.5, 2.4, 5.2, 4.9, 0.0, 5.0
2024, 1, 15, 3.1, -0.7, -3.7, 57.3, 1.8, 9.4, 0.0, 0.0, 0.3
2024, 1, 16, 4.6, -0.2, -5.4, 59.1, 1.1, 9.1, 0.0, 0.0, 4.5
2024, 1, 17, 9.7, 6.8, 0.0, 76.0, 1.2, 0.0, 6.8, 0.0, 9.0
2024, 1, 18, 11.0, 7.2, 5.7, 94.3, 1.2, 0.0, 18.1, 0.0, 10.0
2024, 1, 19, 11.4, 7.8, 6.0, 73.1, 1.8, 1.0, 0.1, 0.0, 8.5
2024, 1, 20, 7.8, 5.9, 4.3, 85.5, 2.0, 0.0, 16.9, 0.0, 10.0
2024, 1, 21, 8.4, 4.2, 1.1, 87.0, 1.7, 2.1, 1.1, 0.0, 9.4
2024, 1, 22, 1.1, -3.9, -6.9, 68.5, 4.0, 2.2, 0.3, 0.3, 8.1
2024, 1, 23, -4.4, -7.0, -8.7, 68.8, 3.1, 3.8, 0.0, 0.0, 6.6
2024, 1, 24, -1.3, -5.0, -8.4, 59.5, 2.4, 9.4, 0.0, 0.0, 1.1
2024, 1, 25, 0.6, -3.3, -7.7, 60.3, 1.5, 9.6, 0.0, 0.0, 0.5
2024, 1, 26, 4.9, 0.4, -5.5, 64.8, 1.5, 6.1, 0.0, 0.0, 5.5
2024, 1, 27, 6.5, 2.2, -0.7, 59.5, 1.2, 9.5, 0.0, 0.0, 3.1
2024, 1, 28, 4.6, 0.9, -2.0, 66.1, 1.4, 5.6, 0.0, 0.0, 5.0
2024, 1, 29, 5.7, 1.2, -1.4, 63.3, 1.2, 8.1, 0.0, 0.0, 3.3
2024, 1, 30, 9.8, 3.2, -3.7, 59.0, 1.1, 8.9, 0.0, 0.0, 3.3
2024, 1, 31, 13.3, 7.6, 3.7, 60.3, 1.3, 4.7, 0.0, 0.0, 7.6
2024, 2, 1, 8.7, 5.3, 3.3, 63.3, 1.5, 0.1, 0.0, 0.0, 9.9
2024, 2, 2, 7.6, 3.1, 0.6, 72.4, 1.5, 6.4, 0.0, 0.0, 6.5
2024, 2, 3, 9.3, 4.4, -0.2, 81.1, 0.8, 0.0, 2.5, 0.0, 9.8
2024, 2, 4, 12.2, 7.4, 3.3, 81.0, 0.9, 4.0, 3.3, 0.0, 8.3
2024, 2, 5, 6.6, 5.4, 4.8, 96.6, 1.3, 0.0, 17.5, 0.0, 10.0
2024, 2, 6, 5.4, 3.5, 1.7, 87.9, 1.4, 0.0, 0.8, 0.0, 9.6
2024, 2, 7, 5.1, 1.3, -0.8, 67.9, 1.5, 7.9, 0.0, 0.0, 3.0
2024, 2, 8, 5.8, 1.2, -2.7, 73.9, 1.1, 8.9, 0.0, 0.0, 3.8
2024, 2, 9, 7.2, 1.5, -2.6, 70.3, 1.7, 8.5, 0.0, 0.0, 1.9
2024, 2, 10, 8.2, 2.8, -2.2, 67.6, 1.8, 7.2, 0.0, 0.0, 2.0
2024, 2, 11, 8.1, 2.6, -2.1, 68.9, 2.0, 5.5, 0.0, 0.0, 3.9
2024, 2, 12, 12.7, 4.9, -1.3, 59.6, 1.4, 9.9, 0.0, 0.0, 0.0
2024, 2, 13, 18.0, 11.3, 3.1, 58.9, 2.5, 9.9, 0.0, 0.0, 2.3
2024, 2, 14, 19.6, 14.6, 12.5, 77.3, 1.9, 3.3, 0.6, 0.0, 7.0
2024, 2, 15, 13.0, 6.1, 1.1, 82.3, 2.2, 0.6, 2.1, 0.0, 7.4
2024, 2, 16, 9.4, 3.2, -1.3, 68.9, 1.2, 10.1, 0.0, 0.0, 0.0
2024, 2, 17, 14.2, 7.1, 0.9, 67.9, 1.6, 10.2, 0.0, 0.0, 0.0
2024, 2, 18, 14.7, 10.7, 4.3, 80.5, 2.1, 0.0, 16.4, 0.0, 7.6
2024, 2, 19, 16.5, 10.6, 4.5, 97.8, 2.3, 0.0, 36.7, 0.0, 10.0
2024, 2, 20, 8.4, 6.3, 4.3, 94.6, 1.0, 0.0, 5.2, 0.0, 10.0
2024, 2, 21, 8.5, 6.2, 5.1, 95.1, 1.8, 0.0, 14.3, 0.0, 10.0
2024, 2, 22, 5.8, 4.5, 3.4, 88.6, 1.5, 0.0, 4.7, 0.0, 10.0
2024, 2, 23, 7.6, 4.4, 1.9, 79.3, 1.5, 0.0, 1.6, 0.0, 10.0
2024, 2, 24, 8.5, 4.4, 2.2, 70.1, 1.3, 0.5, 5.6, 0.0, 9.6
2024, 2, 25, 6.3, 3.8, 1.8, 87.0, 1.5, 0.0, 1.9, 0.0, 9.5
2024, 2, 26, 10.6, 4.7, -0.6, 72.5, 1.4, 9.3, 0.0, 0.0, 3.5
2024, 2, 27, 12.5, 7.2, 2.3, 54.4, 1.3, 6.2, 0.0, 0.0, 6.1
2024, 2, 28, 14.5, 8.3, 2.6, 49.6, 1.7, 8.0, 0.0, 0.0, 5.3
2024, 2, 29, 8.9, 6.5, 3.8, 66.4, 1.4, 0.0, 0.2, 0.0, 9.6
2024, 3, 1, 4.0, -1.3, -5.0, 46.6, 3.5, 10.2, 0.0, 0.0, 1.4
2024, 3, 2, 5.4, 0.3, -6.4, 51.8, 1.8, 10.7, 0.0, 0.0, 1.1
2024, 3, 3, 11.2, 6.5, 2.2, 75.8, 2.3, 5.0, 1.0, 0.0, 7.4
2024, 3, 4, 13.6, 9.0, 3.6, 62.5, 1.1, 5.7, 0.0, 0.0, 8.0
2024, 3, 5, 9.8, 7.0, 5.1, 86.0, 1.3, 0.0, 4.8, 0.0, 9.5
2024, 3, 6, 13.9, 8.2, 4.1, 67.5, 2.0, 9.4, 0.0, 0.0, 5.0
2024, 3, 7, 7.8, 4.4, 1.9, 63.5, 2.6, 6.0, 0.0, 0.0, 4.3
2024, 3, 8, 8.9, 3.5, 0.2, 57.1, 3.1, 10.5, 0.0, 0.0, 1.8
2024, 3, 9, 8.1, 2.3, -2.1, 56.6, 1.7, 11.0, 0.0, 0.0, 0.0
2024, 3, 10, 12.5, 4.4, -2.4, 50.5, 1.5, 11.1, 0.0, 0.0, 1.1
2024, 3, 11, 12.8, 7.4, 1.6, 57.4, 1.6, 3.5, 0.0, 0.0, 5.9
2024, 3, 12, 11.3, 6.2, 2.8, 79.9, 1.9, 0.8, 0.2, 0.0, 6.8
2024, 3, 13, 12.4, 6.1, 0.8, 64.1, 2.0, 10.9, 0.0, 0.0, 0.8
2024, 3, 14, 15.0, 7.3, 1.5, 64.0, 1.9, 11.0, 0.0, 0.0, 2.0
2024, 3, 15, 16.9, 8.9, 1.4, 55.0, 1.8, 11.2, 0.0, 0.0, 0.0
2024, 3, 16, 20.7, 11.2, 2.5, 44.1, 1.6, 8.4, 0.0, 0.0, 4.9
2024, 3, 17, 15.0, 9.5, 5.0, 62.1, 2.3, 6.3, 0.0, 0.0, 6.1
2024, 3, 18, 15.1, 7.7, 1.5, 49.1, 1.7, 10.4, 0.0, 0.0, 3.1
2024, 3, 19, 12.6, 7.2, 4.0, 61.4, 3.4, 2.3, 0.4, 0.0, 7.4
2024, 3, 20, 9.7, 4.7, 1.9, 52.8, 3.5, 11.0, 0.0, 0.0, 0.9
2024, 3, 21, 11.3, 5.2, -1.1, 54.8, 1.5, 11.3, 0.0, 0.0, 0.4
2024, 3, 22, 19.1, 12.5, 3.6, 54.4, 3.1, 6.8, 0.0, 0.0, 7.3
2024, 3, 23, 22.3, 15.6, 10.8, 62.6, 1.9, 8.1, 0.0, 0.0, 7.3
2024, 3, 24, 19.4, 15.7, 12.2, 55.1, 1.2, 0.2, 0.0, 0.0, 9.8
2024, 3, 25, 16.3, 11.9, 8.4, 76.8, 1.3, 0.0, 14.3, 0.0, 9.6
2024, 3, 26, 14.0, 8.8, 6.4, 82.4, 1.8, 2.5, 27.9, 0.0, 7.8
2024, 3, 27, 17.3, 10.9, 5.6, 75.1, 1.3, 7.0, 0.0, 0.0, 7.1
2024, 3, 28, 11.6, 10.0, 8.8, 93.8, 1.2, 0.0, 29.1, 0.0, 9.8
2024, 3, 29, 16.4, 10.1, 6.0, 81.1, 2.5, 3.0, 0.0, 0.0, 4.0
2024, 3, 30, 19.0, 10.9, 4.3, 69.8, 1.8, 4.4, 1.9, 0.0, 4.8
2024, 3, 31, 20.4, 12.4, 4.7, 55.3, 1.4, 10.9, 0.0, 0.0, 3.4
2024, 4, 1, 21.8, 13.6, 5.3, 51.5, 1.2, 11.5, 0.0, 0.0, 0.0
2024, 4, 2, 24.2, 16.2, 9.1, 57.8, 1.7, 6.7, 2.9, 0.0, 8.4
2024, 4, 3, 15.5, 14.3, 13.1, 95.8, 1.1, 0.0, 27.7, 0.0, 9.3
2024, 4, 4, 16.6, 13.9, 11.7, 93.9, 0.9, 0.0, 6.4, 0.0, 9.9
2024, 4, 5, 18.3, 13.5, 10.9, 80.5, 1.1, 4.1, 0.9, 0.0, 6.8
2024, 4, 6, 19.6, 13.3, 8.9, 66.9, 1.0, 5.8, 0.0, 0.0, 5.8
2024, 4, 7, 24.4, 15.3, 7.8, 52.4, 1.4, 11.2, 0.0, 0.0, 4.0
2024, 4, 8, 22.7, 15.8, 9.7, 53.4, 1.2, 3.4, 0.0, 0.0, 6.9
2024, 4, 9, 22.5, 14.7, 9.5, 67.4, 1.6, 11.1, 0.0, 0.0, 1.1
2024, 4, 10, 20.7, 14.9, 9.6, 66.9, 1.5, 8.8, 0.0, 0.0, 6.4
2024, 4, 11, 22.8, 16.9, 11.7, 64.0, 1.5, 8.8, 0.0, 0.0, 4.8
2024, 4, 12, 25.0, 17.8, 11.9, 65.0, 1.6, 10.2, 0.0, 0.0, 4.4
2024, 4, 13, 27.4, 18.7, 12.0, 60.3, 1.6, 11.9, 0.0, 0.0, 0.5
2024, 4, 14, 28.5, 21.2, 13.2, 44.6, 2.0, 11.4, 0.0, 0.0, 4.9
